"year","AL.sd","member","model"
1975,0.788260235580089,"LE2-1071.004","FCM"
1976,0.522735573203955,"LE2-1071.004","FCM"
1977,0.782133794002124,"LE2-1071.004","FCM"
1978,0.713884489314497,"LE2-1071.004","FCM"
1979,0.970853217387433,"LE2-1071.004","FCM"
1980,0.972507872003411,"LE2-1071.004","FCM"
1981,1.21227100343925,"LE2-1071.004","FCM"
1982,1.24834530864903,"LE2-1071.004","FCM"
1983,1.26813571126445,"LE2-1071.004","FCM"
1984,0.906944445206754,"LE2-1071.004","FCM"
1985,0.905968601826737,"LE2-1071.004","FCM"
1986,1.16548530178372,"LE2-1071.004","FCM"
1987,1.64831726485583,"LE2-1071.004","FCM"
1988,0.73148267570684,"LE2-1071.004","FCM"
1989,1.15136341785115,"LE2-1071.004","FCM"
1990,0.593344065776743,"LE2-1071.004","FCM"
1991,0.341018960201023,"LE2-1071.004","FCM"
1992,0.0965116185866203,"LE2-1071.004","FCM"
1993,0.0636693560188004,"LE2-1071.004","FCM"
1994,-0.160512682659131,"LE2-1071.004","FCM"
1995,0.252970844914503,"LE2-1071.004","FCM"
1996,0.0969925800136136,"LE2-1071.004","FCM"
1997,0.388695216767664,"LE2-1071.004","FCM"
1998,0.67061448290205,"LE2-1071.004","FCM"
1999,0.680083887017178,"LE2-1071.004","FCM"
2000,0.649455521845117,"LE2-1071.004","FCM"
2001,0.80423578089132,"LE2-1071.004","FCM"
2002,0.423123407256836,"LE2-1071.004","FCM"
2003,0.551514559539094,"LE2-1071.004","FCM"
2004,0.115262716712792,"LE2-1071.004","FCM"
2005,-0.247952548206272,"LE2-1071.004","FCM"
2006,-0.205319366348955,"LE2-1071.004","FCM"
2007,-0.181433364927725,"LE2-1071.004","FCM"
2008,-0.220103289821735,"LE2-1071.004","FCM"
2009,-0.630808837841874,"LE2-1071.004","FCM"
2010,-0.764769412794046,"LE2-1071.004","FCM"
2011,-1.17190072512115,"LE2-1071.004","FCM"
2012,-1.23581221273249,"LE2-1071.004","FCM"
2013,-1.3551323143917,"LE2-1071.004","FCM"
2014,-1.03918582362449,"LE2-1071.004","FCM"
1964,-0.484485161752339,"LE2-1091.005","FCM"
1965,-0.51539207288694,"LE2-1091.005","FCM"
1966,-0.528318699806737,"LE2-1091.005","FCM"
1967,-0.608268656708122,"LE2-1091.005","FCM"
1968,-0.704184453352024,"LE2-1091.005","FCM"
1969,-0.552904202857975,"LE2-1091.005","FCM"
1970,-0.685168128367101,"LE2-1091.005","FCM"
1971,-0.632911837933028,"LE2-1091.005","FCM"
1972,-0.414944663837349,"LE2-1091.005","FCM"
1973,-0.761172666410295,"LE2-1091.005","FCM"
1974,-0.891733603836326,"LE2-1091.005","FCM"
1975,-0.414543325543404,"LE2-1091.005","FCM"
1976,-0.461811090009726,"LE2-1091.005","FCM"
1977,-0.773741352167115,"LE2-1091.005","FCM"
1978,-0.661592866699773,"LE2-1091.005","FCM"
1979,-0.870564058987869,"LE2-1091.005","FCM"
1980,-0.812575682605601,"LE2-1091.005","FCM"
