"year","GOA.ar1","EBS.ar1","member","model"
1987,0.271063975706038,0.322882121204995,"LE2-1301.012","FCM"
1988,0.22225240713662,0.193296567394394,"LE2-1301.012","FCM"
1989,0.190325000138388,0.0360104679107602,"LE2-1301.012","FCM"
1990,0.253644633961251,-0.251032141226628,"LE2-1301.012","FCM"
1991,0.234496288060927,-0.214193074212346,"LE2-1301.012","FCM"
1992,0.269737533308504,-0.177902006664649,"LE2-1301.012","FCM"
1993,0.26995440914817,-0.255963403191884,"LE2-1301.012","FCM"
1994,0.159569448685249,-0.195271500771891,"LE2-1301.012","FCM"
1995,0.23732745279311,-0.156479718880883,"LE2-1301.012","FCM"
1996,0.241152257308919,-0.0160784314569364,"LE2-1301.012","FCM"
1997,0.250815518725729,-0.13859319096568,"LE2-1301.012","FCM"
1998,0.362071658367169,-0.111492671984055,"LE2-1301.012","FCM"
1999,0.391483273604161,-0.0324342960562105,"LE2-1301.012","FCM"
2000,0.406012487977277,-0.0920076093417743,"LE2-1301.012","FCM"
2001,0.358305456782103,-0.149332737461503,"LE2-1301.012","FCM"
2002,0.482172522655657,-0.0357626586239545,"LE2-1301.012","FCM"
2003,0.217555558252188,-0.0694411203428963,"LE2-1301.012","FCM"
2004,0.206626162068807,-0.0298827592703839,"LE2-1301.012","FCM"
2005,0.193816552390076,-0.0284358134041473,"LE2-1301.012","FCM"
2006,0.280339435520621,-0.00664780172875784,"LE2-1301.012","FCM"
2007,0.212553076299564,-0.0379294571613825,"LE2-1301.012","FCM"
2008,0.231831630779641,-0.0417781719894295,"LE2-1301.012","FCM"
2009,0.228437199233174,-0.0316581519447356,"LE2-1301.012","FCM"
2010,0.228778668237256,-0.147561437117215,"LE2-1301.012","FCM"
2011,0.172420701127561,-0.020947558423632,"LE2-1301.012","FCM"
2012,0.0889923794553364,-0.0044183142908555,"LE2-1301.012","FCM"
2013,0.203663970704493,0.0269206931671445,"LE2-1301.012","FCM"
2014,0.24252465244972,0.032338102611268,"LE2-1301.012","FCM"
1964,0.325971147869684,0.103700146160344,"LE2-1301.013","FCM"
1965,0.312827858387675,0.220648841098032,"LE2-1301.013","FCM"
1966,0.314435298276695,0.148717445690474,"LE2-1301.013","FCM"
1967,0.249360502728006,0.0942943113828604,"LE2-1301.013","FCM"
1968,0.342755651865027,0.230190325079491,"LE2-1301.013","FCM"
1969,0.404772351198109,0.391689944333166,"LE2-1301.013","FCM"
1970,0.367011479357974,0.487084149099687,"LE2-1301.013","FCM"
1971,0.379973066187135,0.49877420612211,"LE2-1301.013","FCM"
1972,0.457939730841885,0.504971130447606,"LE2-1301.013","FCM"
1973,0.417259707513003,0.512472825786588,"LE2-1301.013","FCM"
1974,0.282618773915935,0.399146865433342,"LE2-1301.013","FCM"
1975,0.307663937841797,0.52349909637981,"LE2-1301.013","FCM"
1976,0.30864750953572,0.515369514779924,"LE2-1301.013","FCM"
1977,0.180071501582951,0.536464116736302,"LE2-1301.013","FCM"
1978,0.202248345471006,0.54618533938853,"LE2-1301.013","FCM"
1979,0.284375191225539,0.549434803074544,"LE2-1301.013","FCM"
1980,0.211442201996463,0.521754265811239,"LE2-1301.013","FCM"
1981,0.371486676422344,0.605376250673988,"LE2-1301.013","FCM"
1982,0.34812585947265,0.579768150939309,"LE2-1301.013","FCM"
1983,0.430782271325341,0.56000136414031,"LE2-1301.013","FCM"
1984,0.433847069122427,0.526616227816019,"LE2-1301.013","FCM"
1985,0.373283165497972,0.331983523225029,"LE2-1301.013","FCM"
1986,0.195294119255251,0.331941637034944,"LE2-1301.013","FCM"
1987,0.178693845469766,0.31815839124457,"LE2-1301.013","FCM"
1988,0.114557558063455,0.306666078671423,"LE2-1301.013","FCM"
1989,0.149258182631131,0.278337495030849,"LE2-1301.013","FCM"
1990,0.137635660942694,0.222799012053391,"LE2-1301.013","FCM"
1991,0.316355966835343,0.338141166826668,"LE2-1301.013","FCM"
1992,0.169362468225145,0.00379211929330972,"LE2-1301.013","FCM"
1993,0.273954290660192,0.0678217964714953,"LE2-1301.013","FCM"
1994,0.360945744630531,0.0359771537058841,"LE2-1301.013","FCM"
1995,0.319732172437513,0.0336909942071876,"LE2-1301.013","FCM"
1996,0.30017517022932,0.0409181142900445,"LE2-1301.013","FCM"
1997,0.238224786320515,0.0909830427741654,"LE2-1301.013","FCM"
1998,0.192730848084742,0.0854470216787366,"LE2-1301.013","FCM"
1999,0.124931216793804,0.073170683154273,"LE2-1301.013","FCM"
2000,0.0246143675203686,0.0536582089709712,"LE2-1301.013","FCM"
