"","month.anom","Year","Month"
"707",-2.2893883290007,1912,11
"708",-0.641410497927755,1912,12
"709",-0.559039698015448,1913,1
"710",0.53490828954605,1913,2
"711",0.904423870631758,1913,3
"712",0.378512719739313,1913,4
"713",0.263580554888622,1913,5
"714",0.529160301877231,1913,6
"715",0.383899681171614,1913,7
"716",0.313648632950732,1913,8
"717",-0.211324496174673,1913,9
"718",0.220529922272552,1913,10
"719",0.278166954294169,1913,11
"720",0.0716151065455474,1913,12
"721",-0.830284093481609,1914,1
"722",0.507063135776123,1914,2
"723",-0.435759995560914,1914,3
"724",-0.270324747291232,1914,4
"725",0.135318595685505,1914,5
"726",-0.42662498212646,1914,6
"727",0.274264971644745,1914,7
"728",0.501199365145903,1914,8
"729",0.438171914897292,1914,9
"730",0.905056947119356,1914,10
"731",1.23132183004668,1914,11
"732",1.83268770160003,1914,12
"733",0.991846136548473,1915,1
"734",0.428403954634582,1915,2
"735",1.20269606743734,1915,3
"736",1.16225527628495,1915,4
"737",1.14033266884727,1915,5
"738",1.1251235329169,1915,6
"739",2.13367973658528,1915,7
"740",0.40241124972463,1915,8
"741",-0.0981237469903112,1915,9
"742",-0.567616841327297,1915,10
"743",-0.472471497826692,1915,11
"744",0.335999880748021,1915,12
"745",0.892862818507067,1916,1
"746",-0.0111400238208982,1916,2
"747",-0.329537359094885,1916,3
"748",-1.19055433082974,1916,4
"749",-1.55189331518985,1916,5
"750",-2.68171012733602,1916,6
"751",-1.68847269055183,1916,7
"752",-2.04577319814718,1916,8
"753",-1.70427001952802,1916,9
"754",-0.895817864888006,1916,10
"755",-0.796131212403889,1916,11
"756",-0.739451448382378,1916,12
"757",-0.296567693436811,1917,1
"758",0.739774969244751,1917,2
"759",-0.0920065669857463,1917,3
"760",-0.891182512124202,1917,4
"761",-0.434125443895728,1917,5
"762",-0.376993788186024,1917,6
"763",-0.730518200017395,1917,7
"764",-1.09600583576269,1917,8
"765",-0.725376655702571,1917,9
"766",-0.112463913353713,1917,10
"767",-0.476153010664929,1917,11
"768",-0.20930848328609,1917,12
"769",0.24534484368942,1918,1
"770",0.542043153862354,1918,2
"771",0.862121919541097,1918,3
"772",0.856409572529592,1918,4
"773",-0.300295958212597,1918,5
"774",-0.943046763179998,1918,6
"775",-0.552342957098612,1918,7
"776",-0.88833786216419,1918,8
"777",-1.77043028201464,1918,9
"778",-1.13383737101636,1918,10
"779",-0.472389665820089,1918,11
"780",-1.13209538165308,1918,12
"781",-1.38238379906731,1919,1
"782",-0.465156596563875,1919,2
"783",-0.284761322395026,1919,3
"784",-0.0860512382589137,1919,4
"785",-1.56583245999619,1919,5
"786",-1.13703403855518,1919,6
"787",-1.51069427807302,1919,7
"788",-0.989363318263802,1919,8
"789",-0.725296648984348,1919,9
"790",-1.13913862798678,1919,10
"791",0.169632125842564,1919,11
"792",0.503935079396313,1919,12
"793",-1.97527582821041,1920,1
"794",0.0476341023762586,1920,2
"795",-0.0328134391443112,1920,3
"796",-0.393465310402115,1920,4
"797",-0.115384163783769,1920,5
"798",-1.84193647929251,1920,6
"799",-1.01148968304906,1920,7
"800",-3.64473280648516,1920,8
"801",-3.18141674523527,1920,9
"802",-1.20922201723034,1920,10
"803",0.930707063618737,1920,11
"804",-1.35562413177768,1920,12
"805",-2.1146754439571,1921,1
"806",-1.26203899616995,1921,2
"807",0.0053657753096983,1921,3
"808",-1.32505495442234,1921,4
"809",-1.38658461507769,1921,5
"810",-1.70653984237388,1921,6
"811",-0.858704899273872,1921,7
"812",-0.73257997623966,1921,8
"813",0.403716849648044,1921,9
"814",-0.245627403494457,1921,10
"815",-0.492565607420159,1921,11
"816",-0.00878696275521802,1921,12
"817",0.455120186163409,1922,1
"818",0.62327425644214,1922,2
"819",0.147567434353986,1922,3
"820",0.0131882795665693,1922,4
"821",-1.20373459153095,1922,5
"822",-0.916797734529212,1922,6
"823",-0.734688426874843,1922,7
"824",-0.766092816471989,1922,8
"825",-0.551065075680561,1922,9
"826",0.0100966335487634,1922,10
"827",-0.153071886124407,1922,11
"828",0.642877308119823,1922,12
"829",0.531841920062423,1923,1
"830",-0.735987273586803,1923,2
"831",0.215088007013542,1923,3
"832",-0.196017665762163,1923,4
"833",0.139132523310779,1923,5
"834",-0.344882853489197,1923,6
"835",-1.01818028627221,1923,7
"836",-0.181859552339509,1923,8
"837",0.439741774293886,1923,9
"838",-0.79457177136491,1923,10
"839",-0.864725781256532,1923,11
"840",0.162572699813457,1923,12
"841",-0.378952487494669,1924,1
"842",-1.02622399458696,1924,2
"843",-0.56764786594209,1924,3
"844",-0.218549109505971,1924,4
"845",-0.235922187702164,1924,5
"846",-0.360786076737035,1924,6
"847",-0.194319640110074,1924,7
"848",0.1023556085666,1924,8
"849",-1.39139990402146,1924,9
"850",-1.56857843784143,1924,10
"851",-0.65804077636159,1924,11
"852",-0.137393096877669,1924,12
"853",-0.970548947487429,1925,1
"854",-0.38380403871419,1925,2
"855",0.276018657325098,1925,3
"856",-0.536841645451302,1925,4
"857",0.137375141700118,1925,5
"858",-0.159439357122403,1925,6
"859",-0.392600802996796,1925,7
"860",-0.53731480403883,1925,8
"861",0.996865913908201,1925,9
"862",1.18035196545055,1925,10
"863",1.87307120088111,1925,11
"864",-0.665860381901958,1925,12
"865",-0.115178025982101,1926,1
"866",0.190756669183848,1926,2
"867",0.127332934649879,1926,3
"868",0.415059067590565,1926,4
"869",0.979037254057736,1926,5
"870",1.35482698955747,1926,6
"871",1.92624183696497,1926,7
"872",2.59693343278042,1926,8
"873",2.69806306214553,1926,9
"874",2.72485928323956,1926,10
"875",2.76247328029467,1926,11
"876",4.02609416431876,1926,12
"877",1.4925428526991,1927,1
"878",0.446178632478852,1927,2
"879",-0.00807958128342584,1927,3
"880",-0.101469040387073,1927,4
"881",-0.962851212847463,1927,5
"882",-0.84198846919916,1927,6
"883",-0.322201869342961,1927,7
"884",-0.606781766361186,1927,8
"885",-0.383085644334885,1927,9
"886",-0.0709790719105553,1927,10
"887",-0.313248894933096,1927,11
"888",1.41809849959501,1927,12
"889",0.321246653540416,1928,1
"890",-0.0127577936037366,1928,2
"891",-0.045883873011382,1928,3
"892",-0.399733959582765,1928,4
"893",-0.194329461876642,1928,5
"894",-0.0606837564503202,1928,6
"895",-0.777553511415368,1928,7
"896",-1.23864121313834,1928,8
"897",-1.66429175371633,1928,9
"898",-1.01925938478321,1928,10
"899",-0.340520983733089,1928,11
"900",-0.582841607317992,1928,12
"901",1.21388755346534,1929,1
"902",1.81433636566487,1929,2
"903",0.170417627358085,1929,3
"904",0.372808431771652,1929,4
"905",-0.60501035789471,1929,5
"906",0.188276853439023,1929,6
