"year","AL.anom","member","model"
1891,-639.964914819042,"LE2-1031.002","FCM"
1892,588.957829604207,"LE2-1031.002","FCM"
1893,-954.330479384945,"LE2-1031.002","FCM"
1894,-704.156765273055,"LE2-1031.002","FCM"
1895,-92.1720823984468,"LE2-1031.002","FCM"
1896,-437.662808884386,"LE2-1031.002","FCM"
1897,279.24268373994,"LE2-1031.002","FCM"
1898,-40.569025749513,"LE2-1031.002","FCM"
1899,-477.664332815488,"LE2-1031.002","FCM"
1900,91.7545041478747,"LE2-1031.002","FCM"
1901,174.131134762977,"LE2-1031.002","FCM"
1902,-141.261571897432,"LE2-1031.002","FCM"
1903,300.509576928519,"LE2-1031.002","FCM"
1904,649.525637821672,"LE2-1031.002","FCM"
1905,-1212.89066847037,"LE2-1031.002","FCM"
1906,134.128853022955,"LE2-1031.002","FCM"
1907,-243.48864024498,"LE2-1031.002","FCM"
1908,330.803766824416,"LE2-1031.002","FCM"
1909,-393.195896050698,"LE2-1031.002","FCM"
1910,-93.1695817494684,"LE2-1031.002","FCM"
1911,-135.271609536885,"LE2-1031.002","FCM"
1912,-1048.33696293481,"LE2-1031.002","FCM"
1913,361.746701648486,"LE2-1031.002","FCM"
1914,-421.613812866813,"LE2-1031.002","FCM"
1915,-604.906899413388,"LE2-1031.002","FCM"
1916,308.368441448005,"LE2-1031.002","FCM"
1917,-761.65888347891,"LE2-1031.002","FCM"
1918,-1048.88467022962,"LE2-1031.002","FCM"
1919,-416.081908770251,"LE2-1031.002","FCM"
1920,165.457223453396,"LE2-1031.002","FCM"
1921,449.209938550321,"LE2-1031.002","FCM"
1922,-576.322203258068,"LE2-1031.002","FCM"
1923,496.384186620808,"LE2-1031.002","FCM"
1924,163.021609192992,"LE2-1031.002","FCM"
1925,610.324769022604,"LE2-1031.002","FCM"
1926,455.607760603843,"LE2-1031.002","FCM"
1927,-121.197132786401,"LE2-1031.002","FCM"
1928,-479.868125248369,"LE2-1031.002","FCM"
1929,7.2941200913005,"LE2-1031.002","FCM"
1930,284.892795523988,"LE2-1031.002","FCM"
1931,-744.974038700148,"LE2-1031.002","FCM"
1932,955.507786527529,"LE2-1031.002","FCM"
1933,-525.226079546081,"LE2-1031.002","FCM"
1934,-1206.47975532443,"LE2-1031.002","FCM"
1935,1048.9716147647,"LE2-1031.002","FCM"
1936,-454.66387363673,"LE2-1031.002","FCM"
1937,-422.166819681573,"LE2-1031.002","FCM"
1938,-59.4865767140813,"LE2-1031.002","FCM"
1939,-800.315956052477,"LE2-1031.002","FCM"
1940,-417.202758495685,"LE2-1031.002","FCM"
1941,66.2810464291209,"LE2-1031.002","FCM"
1942,-1129.97916133542,"LE2-1031.002","FCM"
