"year","AL.sd","member","model"
2006,641.553408721861,"LE2-1131.007","FCM"
2007,612.043219854662,"LE2-1131.007","FCM"
2008,539.318442660684,"LE2-1131.007","FCM"
2009,550.982933252638,"LE2-1131.007","FCM"
2010,529.466717162609,"LE2-1131.007","FCM"
2011,450.281795870785,"LE2-1131.007","FCM"
2012,497.459309558511,"LE2-1131.007","FCM"
2013,519.811355683928,"LE2-1131.007","FCM"
2014,518.891688259873,"LE2-1131.007","FCM"
1964,563.432015567636,"LE2-1151.008","FCM"
1965,617.71349245666,"LE2-1151.008","FCM"
1966,551.159688886944,"LE2-1151.008","FCM"
1967,551.104407300972,"LE2-1151.008","FCM"
1968,535.957712781123,"LE2-1151.008","FCM"
1969,536.498410060972,"LE2-1151.008","FCM"
1970,596.036523733694,"LE2-1151.008","FCM"
1971,551.672034722188,"LE2-1151.008","FCM"
1972,528.893535516006,"LE2-1151.008","FCM"
1973,529.711316769656,"LE2-1151.008","FCM"
1974,529.168435590237,"LE2-1151.008","FCM"
1975,530.721036585953,"LE2-1151.008","FCM"
1976,533.821804197246,"LE2-1151.008","FCM"
1977,518.585970163281,"LE2-1151.008","FCM"
1978,506.524998783769,"LE2-1151.008","FCM"
1979,535.383365643347,"LE2-1151.008","FCM"
1980,470.294365288277,"LE2-1151.008","FCM"
1981,515.699179088324,"LE2-1151.008","FCM"
1982,617.533297974022,"LE2-1151.008","FCM"
1983,621.710114683848,"LE2-1151.008","FCM"
1984,619.70131580631,"LE2-1151.008","FCM"
1985,613.820482556839,"LE2-1151.008","FCM"
1986,617.207111048064,"LE2-1151.008","FCM"
1987,603.654836013707,"LE2-1151.008","FCM"
1988,603.19738811954,"LE2-1151.008","FCM"
1989,627.395102341237,"LE2-1151.008","FCM"
1990,633.713505106624,"LE2-1151.008","FCM"
1991,658.777433643518,"LE2-1151.008","FCM"
1992,680.586233508471,"LE2-1151.008","FCM"
1993,667.024928436418,"LE2-1151.008","FCM"
1994,641.779676905247,"LE2-1151.008","FCM"
1995,631.424692157987,"LE2-1151.008","FCM"
1996,612.445831611625,"LE2-1151.008","FCM"
1997,583.85225007663,"LE2-1151.008","FCM"
1998,605.481719718562,"LE2-1151.008","FCM"
1999,618.51238196747,"LE2-1151.008","FCM"
2000,689.694028046937,"LE2-1151.008","FCM"
2001,660.205998125194,"LE2-1151.008","FCM"
2002,653.117772022497,"LE2-1151.008","FCM"
2003,657.678193627376,"LE2-1151.008","FCM"
2004,657.41992505274,"LE2-1151.008","FCM"
2005,653.562471500178,"LE2-1151.008","FCM"
2006,619.272914410545,"LE2-1151.008","FCM"
2007,580.838539905393,"LE2-1151.008","FCM"
2008,595.333110518393,"LE2-1151.008","FCM"
2009,601.279096682141,"LE2-1151.008","FCM"
2010,587.688145531986,"LE2-1151.008","FCM"
2011,549.508058218774,"LE2-1151.008","FCM"
2012,514.299596788817,"LE2-1151.008","FCM"
2013,464.653520212497,"LE2-1151.008","FCM"
2014,502.134311246854,"LE2-1151.008","FCM"
1964,443.396690257026,"LE2-1171.009","FCM"
1965,439.998164599075,"LE2-1171.009","FCM"
1966,447.365186552212,"LE2-1171.009","FCM"
1967,452.921068193718,"LE2-1171.009","FCM"
1968,456.789729114847,"LE2-1171.009","FCM"
1969,424.84572422418,"LE2-1171.009","FCM"
1970,382.479068522584,"LE2-1171.009","FCM"
1971,491.811365132008,"LE2-1171.009","FCM"
1972,532.001897288811,"LE2-1171.009","FCM"
1973,541.325597194007,"LE2-1171.009","FCM"
1974,541.199374637934,"LE2-1171.009","FCM"
1975,595.075665030746,"LE2-1171.009","FCM"
1976,598.977846713048,"LE2-1171.009","FCM"
1977,609.354943138226,"LE2-1171.009","FCM"
1978,610.51424249087,"LE2-1171.009","FCM"
1979,638.374532691177,"LE2-1171.009","FCM"
1980,648.853801070779,"LE2-1171.009","FCM"
1981,648.309743536918,"LE2-1171.009","FCM"
1982,710.420530332293,"LE2-1171.009","FCM"
1983,779.890380592208,"LE2-1171.009","FCM"
1984,821.041008863276,"LE2-1171.009","FCM"
1985,822.991608616679,"LE2-1171.009","FCM"
1986,783.475015799086,"LE2-1171.009","FCM"
1987,782.888477304501,"LE2-1171.009","FCM"
1988,767.683205935346,"LE2-1171.009","FCM"
1989,768.448787541089,"LE2-1171.009","FCM"
1990,729.933226054942,"LE2-1171.009","FCM"
1991,709.572219627611,"LE2-1171.009","FCM"
1992,705.619637534537,"LE2-1171.009","FCM"
1993,704.4932726615,"LE2-1171.009","FCM"
1994,631.495681643991,"LE2-1171.009","FCM"
1995,622.73974018874,"LE2-1171.009","FCM"
1996,646.436785226144,"LE2-1171.009","FCM"
1997,518.282107485773,"LE2-1171.009","FCM"
1998,468.869466703064,"LE2-1171.009","FCM"
1999,442.961062029013,"LE2-1171.009","FCM"
2000,453.655881069765,"LE2-1171.009","FCM"
2001,467.21272592737,"LE2-1171.009","FCM"
2002,401.586291500429,"LE2-1171.009","FCM"
2003,408.815222658291,"LE2-1171.009","FCM"
2004,421.660749927389,"LE2-1171.009","FCM"
2005,439.924792502671,"LE2-1171.009","FCM"
2006,435.314993577264,"LE2-1171.009","FCM"
2007,438.294121227706,"LE2-1171.009","FCM"
2008,443.007508500652,"LE2-1171.009","FCM"
2009,431.444446243967,"LE2-1171.009","FCM"
2010,431.709973761289,"LE2-1171.009","FCM"
2011,420.966430258545,"LE2-1171.009","FCM"
2012,435.130725168897,"LE2-1171.009","FCM"
2013,394.40633991021,"LE2-1171.009","FCM"
2014,427.600283577493,"LE2-1171.009","FCM"
1964,657.407331891958,"LE2-1191.010","FCM"
1965,660.152981787802,"LE2-1191.010","FCM"
1966,650.159226959559,"LE2-1191.010","FCM"
1967,642.485570992549,"LE2-1191.010","FCM"
1968,643.843904606546,"LE2-1191.010","FCM"
1969,641.918656565794,"LE2-1191.010","FCM"
1970,627.758783545882,"LE2-1191.010","FCM"
1971,584.849358632302,"LE2-1191.010","FCM"
1972,551.423598123808,"LE2-1191.010","FCM"
1973,504.448221573367,"LE2-1191.010","FCM"
1974,500.798673845445,"LE2-1191.010","FCM"
1975,514.886825924536,"LE2-1191.010","FCM"
1976,389.307598367022,"LE2-1191.010","FCM"
1977,432.389466958305,"LE2-1191.010","FCM"
1978,434.662906272455,"LE2-1191.010","FCM"
1979,405.710909461569,"LE2-1191.010","FCM"
1980,399.561146895105,"LE2-1191.010","FCM"
1981,376.094567836778,"LE2-1191.010","FCM"
1982,398.895112833243,"LE2-1191.010","FCM"
1983,394.372751207706,"LE2-1191.010","FCM"
1984,428.68068293249,"LE2-1191.010","FCM"
1985,427.692119920575,"LE2-1191.010","FCM"
1986,454.643055211415,"LE2-1191.010","FCM"
1987,532.310873075194,"LE2-1191.010","FCM"
1988,534.771210771873,"LE2-1191.010","FCM"
1989,535.886028331909,"LE2-1191.010","FCM"
