"lon","lat","beta.mean","beta.sd","n.members"
167.5,56.0733032226562,0.00353851586030814,0.0218569986130508,20
167.5,57.0157012939453,0.00368784607099646,0.022049614732039,20
167.5,57.9581146240234,0.00339318409250195,0.0213981689359521,20
167.5,58.9005279541016,0.00233709626264314,0.0201707705318594,20
167.5,59.8429260253906,0.000257472833840657,0.0199349707646307,19
167.5,60.7853393554688,0.000706220941968717,0.0195807882180915,20
168.75,20.2617797851562,0.0065433836513362,0.0225379208050133,20
168.75,21.2041854858398,0.00542462991984847,0.0204429878509432,20
168.75,22.146598815918,0.00373292572810734,0.0198111116474549,20
168.75,23.0890045166016,0.00261916373782432,0.0196584627808739,20
168.75,24.0314178466797,0.00261965004818315,0.0183355937255144,20
168.75,24.9738235473633,0.00247281957939863,0.0160432451896224,20
168.75,25.9162292480469,0.00135441659772706,0.0145548921572283,20
168.75,26.858642578125,-0.000254713419348627,0.0148120369680589,20
168.75,27.8010482788086,-0.00156155525716118,0.0170792624306178,20
168.75,28.7434539794922,-0.00163457126636434,0.0195666729885166,20
168.75,29.6858673095703,-0.000633827983882934,0.0213125761691481,20
168.75,30.6282730102539,0.00117230355772891,0.0222788427901514,20
168.75,31.5706787109375,0.00408080050936843,0.0237828643054294,20
168.75,32.5130920410156,0.00749068413364527,0.02550142099338,20
168.75,33.4554977416992,0.00957028266130801,0.0260551349710467,20
168.75,34.3979034423828,0.0112371783170314,0.0257777976802267,20
168.75,35.3403167724609,0.0121029109383494,0.0249000609700091,20
168.75,36.2827224731445,0.0128786517920639,0.0236517248281103,20
168.75,37.2251281738281,0.0132759875235066,0.0220727949379673,20
168.75,38.1675415039062,0.0128229524749531,0.0202187797711361,20
168.75,39.1099548339844,0.0117276639047846,0.0182124270490094,20
168.75,40.0523529052734,0.0104166728380201,0.0174042825914272,20
168.75,40.9947662353516,0.00864960976394325,0.0181003425085775,20
168.75,41.9371795654297,0.00681705808741992,0.019802446018567,20
168.75,42.8795776367188,0.0045776090097786,0.0224799363213541,20
168.75,43.8219909667969,0.00327871404758169,0.0236579004516803,20
168.75,44.764404296875,0.00215627299572692,0.0230807548484226,20
168.75,45.7068023681641,0.00152710433742093,0.0213134111733839,20
168.75,46.6492156982422,0.00116899041944497,0.0180920808784781,20
168.75,47.5916290283203,0.00122766818435284,0.0158793141570105,20
168.75,48.5340270996094,0.00142051321706002,0.015535175456102,20
168.75,49.4764404296875,0.00146419084792296,0.0160650389958431,20
168.75,50.4188537597656,0.0016296061775972,0.0161621555570872,20
168.75,51.3612518310547,0.00185439354789634,0.0158377003625279,20
168.75,52.3036651611328,0.0020431756488896,0.0160455406028336,20
168.75,53.2460784912109,0.00227678364854658,0.0174152165568966,20
168.75,54.1884765625,0.00270089080031081,0.0196777503738868,20
168.75,55.1308898925781,0.00314889119205914,0.0208991910339295,20
