"lon","lat","ar1.e1","ar1.e2","diff","variable"
191,65.25,-0.551394701619904,0.516397730421949,1.06779243204185,"SST"
191.25,65.25,-0.619263620222402,0.498909645817235,1.11817326603964,"SST"
191.5,65.25,-0.612419205962103,0.486128352061349,1.09854755802345,"SST"
191.75,65.25,-0.593064306450299,0.450793066620162,1.04385737307046,"SST"
192,65.25,-0.54849755883097,0.413392340089847,0.961889898920818,"SST"
192.25,65.25,-0.48384917760646,0.378795286034224,0.862644463640685,"SST"
192.5,65.25,-0.42172195553416,0.315244776717326,0.736966732251486,"SST"
192.75,65.25,-0.404470720771163,0.313887736223149,0.718358456994312,"SST"
193,65.25,-0.412547156998866,0.331437147838767,0.743984304837633,"SST"
193.25,65.25,-0.423753121101449,0.34300578595611,0.766758907057559,"SST"
237.25,65.25,-0.204204830132866,-0.113183912776168,0.0910209173566978,"SST"
237.5,65.25,-0.20494350575414,-0.126977123659182,0.0779663820949582,"SST"
237.75,65.25,-0.222102408145358,-0.13369152698224,0.0884108811631184,"SST"
238,65.25,-0.236758081531156,-0.122815442142758,0.113942639388399,"SST"
238.25,65.25,-0.244680971437447,-0.123780459619918,0.120900511817529,"SST"
239.75,65.25,-0.152497479920199,-0.202504872123569,-0.0500073922033707,"SST"
240,65.25,-0.118748447158068,-0.170268600466843,-0.0515201533087755,"SST"
240.25,65.25,-0.118748447158068,-0.170268600466843,-0.0515201533087755,"SST"
180,65,0.268295413414508,0.080597463803617,-0.187697949610891,"SST"
180.25,65,0.322333640895795,0.105428969700342,-0.216904671195453,"SST"
180.5,65,0.369843982303277,0.139269870995095,-0.230574111308182,"SST"
180.75,65,0.362406940402983,0.201008905125093,-0.16139803527789,"SST"
181,65,0.34895574961994,0.209637621417129,-0.139318128202812,"SST"
181.25,65,0.335243491808198,0.21454601794435,-0.120697473863848,"SST"
181.5,65,0.337899970077311,0.216774745926627,-0.121125224150684,"SST"
181.75,65,0.338705113405144,0.217051024312314,-0.121654089092829,"SST"
