"lon","lat","beta","pval","qval"
237.75,65,-0.000970478204447752,0.772982087487737,0.837078301116551
238,65,-0.00110321032342793,0.738762213301113,0.81078478594874
238.25,65,-0.00110321032342793,0.738762213301113,0.81078478594874
238.5,65,-0.00110321032342793,0.738762213301113,0.81078478594874
239,65,-3.05184851007517e-05,0.989801841778684,0.99306331813496
239.25,65,-3.05184851007517e-05,0.989801841778684,0.99306331813496
239.5,65,-3.05184851007517e-05,0.989801841778684,0.99306331813496
239.75,65,-3.05184851007517e-05,0.989801841778684,0.99306331813496
176.75,64.75,0.00327376961137181,0.212038711223213,0.310813524533787
177,64.75,0.00286414945456831,0.205092394133688,0.30271054579197
177.25,64.75,0.00166615235327408,0.404428260660031,0.520369616819813
177.5,64.75,-1.97109380610082e-05,0.993154834434866,0.99539218885934
177.75,64.75,0.000110799082781255,0.957316840075179,0.971230849412745
179.25,64.75,0.00581288801318267,0.0934000878245593,0.158218470684769
179.5,64.75,0.00552589805353448,0.116945720652357,0.190720205630439
179.75,64.75,0.00500215202963103,0.177070060921662,0.268244244124088
180,64.75,0.00446487304075557,0.253072943627764,0.35917931242195
180.25,64.75,0.00411875345791821,0.307746255661234,0.420625650599029
180.5,64.75,0.00371424387403447,0.373534618601898,0.489309154360384
180.75,64.75,0.00353470689355134,0.41909156749534,0.534707732685599
181,64.75,0.00367923565702681,0.432646904607384,0.547856426350312
181.25,64.75,0.00381650693308835,0.448078822262064,0.562757365180766
181.5,64.75,0.00450385646574688,0.388843372404197,0.504757540274035
181.75,64.75,0.00509348686303371,0.352388076377667,0.467811048755302
182,64.75,0.0055333993171024,0.33166309726088,0.446141623005456
182.25,64.75,0.00579392104369335,0.328370705466427,0.442724484371271
182.5,64.75,0.006244616658823,0.318470315224299,0.432272218500941
182.75,64.75,0.0059392833574841,0.34360940019316,0.458820436356745
183,64.75,0.00558158790632536,0.37498603284902,0.490800862693942
183.25,64.75,0.0056060218249041,0.375329556342006,0.491095796473277
183.5,64.75,0.00603661587847617,0.342575671723022,0.45771790146613
183.75,64.75,0.00636691753851151,0.319931429110098,0.433788674491589
184,64.75,0.00629677212317243,0.300548955971271,0.412793168646184
184.25,64.75,0.00619554228200226,0.281329185731486,0.391441503280981
184.5,64.75,0.00561753259914216,0.297920461453865,0.40991345596362
184.75,64.75,0.0045420312646198,0.366194856735527,0.481794236191349
185,64.75,0.00365179925490235,0.44594683251266,0.560627945340706
185.25,64.75,0.00338493083434989,0.470678496269817,0.584510820042893
187.25,64.75,0.000662686413027666,0.828453033107621,0.879077123396057
187.5,64.75,0.000807089450354083,0.793471998366854,0.852718036338991
187.75,64.75,0.00176797787462739,0.612238187466227,0.709247688717477
188,64.75,0.00261083407714181,0.519184875652006,0.629025972020193
188.25,64.75,0.00355405771075212,0.430092628883805,0.545394451304203
188.5,64.75,0.00452813193560809,0.34638353998454,0.461661728354331
188.75,64.75,0.00542329211156624,0.291229567195618,0.402582851807283
189,64.75,0.00525918159933729,0.315872746259913,0.429389989335134
189.25,64.75,0.00517334423119833,0.341059044177242,0.456071080162805
189.5,64.75,0.00471625266679495,0.39126929874732,0.507170362836683
189.75,64.75,0.00398431432069558,0.463086373047458,0.577081138060058
190,64.75,0.00330154922211614,0.539582327715447,0.647294408025448
190.25,64.75,0.00249112698240177,0.638447272937668,0.730931175007567
190.5,64.75,0.00183960816645345,0.727783276777789,0.802275411925267
190.75,64.75,0.00100697749276479,0.849537502646647,0.894760458561326
191,64.75,1.56760844453544e-05,0.997674356543112,0.998499747599956
191.25,64.75,-0.000876732257519314,0.873695030202089,0.912256731804115
191.5,64.75,-0.00154195374756165,0.781850465297262,0.843848997228397
191.75,64.75,-0.00219804488645779,0.696573567902055,0.777296171436262
192,64.75,-0.00254998502038699,0.653164055906045,0.742842514815522
192.25,64.75,-0.0025909722696022,0.64855994241347,0.739130651976115
192.5,64.75,-0.00262745248262156,0.646198506770617,0.737212527952266
192.75,64.75,-0.00225324228361923,0.67873112202581,0.763075605740757
193,64.75,-0.00192049097562247,0.708221508047101,0.78641799749194
193.25,64.75,-0.00177976981283485,0.722416282783692,0.798152653640927
198.5,64.75,-0.00257948672773676,0.0642336306334711,0.1158787360612
198.75,64.75,-0.00251362254585347,0.0673042484653746,0.120476702521199
199,64.75,-0.00254351369532825,0.0655962651930831,0.117927370606454
174.25,64.5,-5.63839485200421e-07,0.884004773612273,0.91969097052933
174.5,64.5,-5.63839485200421e-07,0.884004773612273,0.91969097052933
177.25,64.5,0.000519797508513311,0.843608171968592,0.890450081702548
177.5,64.5,0.000520191452840516,0.843592105520173,0.890450081702548
177.75,64.5,0.000836885729641081,0.678156462358334,0.762712334280486
178,64.5,0.00135750168757523,0.431013004555477,0.546286981766945
178.25,64.5,0.00214976018435947,0.257897938381221,0.364795962499989
178.5,64.5,0.00352265120237435,0.14504336663234,0.22777190091609
178.75,64.5,0.00477541339399061,0.123898781356364,0.20004779593442
179,64.5,0.00596987953958712,0.082615412592526,0.142732007771604
179.25,64.5,0.00664304135584338,0.0806013518905064,0.139811401079103
179.5,64.5,0.00650421846652319,0.105615444192551,0.175326650947332
179.75,64.5,0.0059206214949756,0.152002536687338,0.236674730902697
180,64.5,0.00535777421328057,0.211780722777797,0.310497573381389
180.25,64.5,0.00494641405831135,0.267217050740908,0.375377092318691
180.5,64.5,0.00456449870892816,0.327520357403923,0.441847867671463
180.75,64.5,0.00430298093702698,0.37583332231155,0.491591043367179
181,64.5,0.00421407088817492,0.406627813390275,0.522581027142034
181.25,64.5,0.00421227779532022,0.432654566823025,0.547856426350312
181.5,64.5,0.00542703265221274,0.332382441363987,0.446843747997057
181.75,64.5,0.0067017398012048,0.257501098571769,0.364351366138727
182,64.5,0.00785856137626739,0.210605372382554,0.309187262404215
182.25,64.5,0.00893324028221727,0.181468154793649,0.273793417205842
182.5,64.5,0.00997948835980921,0.163331748849372,0.251071827016574
182.75,64.5,0.00972350287744663,0.178130562400424,0.269596411877405
183,64.5,0.00943886385099773,0.196476983294555,0.292296908365676
183.25,64.5,0.00932298039219079,0.20595136669913,0.303718180071951
183.5,64.5,0.00935089033528092,0.206421260589684,0.30427139052345
183.75,64.5,0.00937862418152905,0.207245694578458,0.305281100544168
184,64.5,0.00935912658210358,0.198318810441319,0.294416929776912
184.25,64.5,0.00933658210441724,0.191250533039755,0.285906453641638
184.5,64.5,0.00908513669096963,0.194638312597511,0.28996457814472
184.75,64.5,0.00868593572737055,0.207613395201222,0.305737191275615
185,64.5,0.00834286033390551,0.221278499635052,0.321886147612695
185.25,64.5,0.00693343352539725,0.264259097828851,0.372102431292085
185.5,64.5,0.00553000468125491,0.325682584622242,0.439931499717281
185.75,64.5,0.00489977319031487,0.362119170851708,0.477695161981823
187.25,64.5,0.00213945604961379,0.542660302484102,0.650029230269907
187.5,64.5,0.00215295807335175,0.540636254163977,0.64821918117062
187.75,64.5,0.00340045628093553,0.386984375926645,0.502889610100594
188,64.5,0.00468737067229398,0.290647476393886,0.401929010854393
188.25,64.5,0.00568893110438239,0.242550572588725,0.346999057206139
188.5,64.5,0.00642204431067148,0.215542758322034,0.314884817137537
188.75,64.5,0.00717480534468515,0.193805193995434,0.288940831808204
189,64.5,0.00652420759503439,0.240170916906269,0.344159233411612
189.25,64.5,0.00585549982631707,0.299986557133977,0.412164982221655
189.5,64.5,0.00510062750726768,0.367166623559281,0.482793832847393
189.75,64.5,0.00425896048015353,0.442713684762646,0.557555387932706
190,64.5,0.00348456985197966,0.524577176260884,0.634039791059878
190.25,64.5,0.00254697628063685,0.635869215599978,0.728841963847904
190.5,64.5,0.00172013941772957,0.747376388808475,0.817406764498524
190.75,64.5,0.000761278680915757,0.88727139584492,0.922247338951533
191,64.5,-0.000322808033926607,0.953002138982171,0.968076949923793
191.25,64.5,-0.0012899973322412,0.819317005489379,0.872147093439968
191.5,64.5,-0.0019569300416158,0.732714248189523,0.806151148541514
191.75,64.5,-0.00260118097641058,0.655894526888342,0.745229192874485
192,64.5,-0.00292211019486754,0.619992844039119,0.715620195286542
192.25,64.5,-0.00291808873781276,0.621244219776978,0.716659819629501
192.5,64.5,-0.00292355539471398,0.623239482791096,0.718340247101603
192.75,64.5,-0.0025748866226807,0.658163635041991,0.746980160822424
193,64.5,-0.0022536300476175,0.693514342754744,0.774898422552556
193.25,64.5,-0.00188423609269009,0.732811935658361,0.806220955876317
193.5,64.5,-0.00139362972234536,0.788376948706235,0.848913474487258
193.75,64.5,-0.000909314701767903,0.852682168944407,0.896998785022083
194,64.5,-0.00074602410976228,0.86751714585485,0.907765171286168
194.25,64.5,-0.000538029518827858,0.895721606814555,0.928281521106057
