"","month.anom","Year","Month"
"1083",0.668723246748182,1944,3
"1084",0.291678290833482,1944,4
"1085",-0.286112681044485,1944,5
"1086",-0.559675853159058,1944,6
"1087",0.0995463057568336,1944,7
"1088",0.335163695588769,1944,8
"1089",0.393519777604355,1944,9
"1090",0.272711004404111,1944,10
"1091",0.688232728362481,1944,11
"1092",0.365878797202694,1944,12
"1093",0.49561180844093,1945,1
"1094",0.953459704262639,1945,2
"1095",0.635173231664616,1945,3
"1096",3.04117774358809,1945,4
"1097",0.436449243620078,1945,5
"1098",-0.586641267273829,1945,6
"1099",-1.22636933256966,1945,7
"1100",-0.231103735275529,1945,8
"1101",0.320584660508849,1945,9
"1102",0.753686345035285,1945,10
"1103",0.709792286411979,1945,11
"1104",-0.74963818156218,1945,12
"1105",-0.389675135120068,1946,1
"1106",-1.24869085921834,1946,2
"1107",-0.00510710726825221,1946,3
"1108",2.24037730622909,1946,4
"1109",1.16543985795231,1946,5
"1110",1.2326873604473,1946,6
"1111",0.531460580935642,1946,7
"1112",-1.02185878871877,1946,8
"1113",-1.1296136702356,1946,9
"1114",-0.374727619448287,1946,10
"1115",-0.517028180766388,1946,11
"1116",-0.770492696300805,1946,12
"1117",-0.589798941996532,1947,1
"1118",-0.109931526224419,1947,2
"1119",-0.14637846553678,1947,3
"1120",-0.669997781403078,1947,4
"1121",-2.20197243291953,1947,5
"1122",0.376022603431472,1947,6
"1123",1.05236950190758,1947,7
"1124",-0.593383999484742,1947,8
"1125",-1.98258496222087,1947,9
"1126",-1.22462865811917,1947,10
"1127",-1.02015321083131,1947,11
"1128",-3.15520417688471,1947,12
"1129",-1.58501987597825,1948,1
"1130",-0.534074242815322,1948,2
"1131",0.0847321740256313,1948,3
"1132",-0.260907585843685,1948,4
"1133",-0.642014695729075,1948,5
"1134",-0.252835354244831,1948,6
"1135",0.524586644407537,1948,7
"1136",-0.0747391591383982,1948,8
"1137",-1.01253641731798,1948,9
"1138",-2.12596983459541,1948,10
"1139",-0.963188219242624,1948,11
"1140",-1.31243536153596,1948,12
"1141",-1.36301956433877,1949,1
"1142",-1.61738166627217,1949,2
"1143",-1.5097781447113,1949,3
"1144",-1.14185072351359,1949,4
"1145",-0.840847018061768,1949,5
"1146",-1.02942724591901,1949,6
"1147",-0.875159771867509,1949,7
"1148",-0.425047330044718,1949,8
"1149",0.671528001580613,1949,9
"1150",0.247531771382411,1949,10
"1151",0.234336489004222,1949,11
